Y,X
13731.73496,6161.308869
13771.56797,6160.487214
13908.27331,6160.772246
13961.30532,6162.432247
13993.26611,6161.737006
14107.64795,6161.158574
14157.51336,6167.51419
14209.26316,6175.919373
14247.79947,6161.207219
13942.27333,6160.82
14262.67874,6193.639322
13593.64154,6175.944853
13729.90672,6189.025373
13823.59259,6184.834046
14104.43581,6182.641892
14175.7932,6192.564626
13910.7947,6199.385606
13424.53575,6201.747378
13663.71739,6195.236025
13872.35743,6207.527443
14039.65409,6206.449438
13532.05495,6199.054945
13357.54308,6210.085189
13646.45679,6214.946208
13510.76726,6223.617008
13606.00062,6221.921885
14403.83084,6227.594901
13447.96809,6217.103723
13773.26053,6212.255263
14343.73571,6221.453621
13775.8292,6227.440771
13388.7041,6223.755793
14298.53391,6225.944348
13451.84396,6241.452902
13364.62921,6238.514045
13166.18996,6237.987788
13387.03286,6250.9069
14527.03905,6244.774403
13686.49476,6248.47644
14554.82318,6250.123059
14499.14374,6252.49692
13260.59551,6254.340536
13322.68208,6258.186183
13103.25254,6248.548621
14454.41852,6259.562096
14390.19037,6252.544858
13806.48208,6263.43241
13045.14945,6269.165249
13972.42772,6261.577061
13740.27297,6267.9965
13010.42203,6266.387132
14595.84132,6276.056347
14247.97492,6276.51699
13183.00169,6284.205982
13075.70277,6275.11793
14162.29909,6278.007741
14515.91962,6282.554883
14284.26555,6284.347483
13159.83577,6277.813869
14651.51917,6298.522124
13493.35297,6298.179603
13340.0989,6284.931319
13650.76705,6288.997343
13881.82035,6291.869844
14316.3131,6293.596339
13310.37374,6290.105051
13852.25858,6304.932278
14400.79064,6307.567323
13223.80179,6312.987612
14126.22857,6306.850286
14038.25874,6311.03885
14465.60633,6311.126697
13048.86334,6311.929624
14219.03403,6312.647448
13250.14403,6319.805213
13466.07352,6328.570593
14265.13534,6325.672414
13689.71849,6317.806723
13700.21577,6321.448133
14506.33677,6323.738832
14754.19811,6337.009984
14483.82609,6339.669401
13089.38828,6336.510073
13523.00765,6329.678571
13987.62861,6330.575145
14225.18515,6341.080366
13738.55619,6339.450326
13378.56406,6340.330876
13508.30263,6334.546053
14419.05311,6336.943854
14797.9939,6348.637288
13152.70114,6344.184926
14523.52787,6336.55082
14535.10952,6348.068223
13111.37992,6355.872935
13132.16174,6369.666667
13236.08156,6370.38156
14678.97762,6369.632716
13708.51858,6363.719595
14834.78821,6367.979021
13083.94981,6368.351351
14621.44579,6371.026168
14880.68619,6370.220921
13489.39642,6371.042626
14445.62354,6376.643043
13579.44329,6378.944888
13383.00476,6382.16
13323,6375
14904.57993,6389.164808
14533.11856,6392.484431
14080.44863,6384.590183
14950.3344,6397.499358
14857.06287,6396.974551
13361.10927,6387.612583
14615.3897,6398.346939
14382.50166,6398.699223
14996.62978,6406.59817
14337.55266,6404.716472
14129.49158,6407.97514
14785.21385,6412.04435
13150.2907,6413.180911
13294.55657,6407.361897
15027.88531,6412.114691
13335.2606,6420.399383
14473.79031,6418.205286
15047.30189,6433.042977
14582.78612,6424.937959
14423.77193,6428.451023
14926.61313,6420.115717
13557.73623,6425.681169
15012.28384,6423.938865
14980.43792,6431.002257
15100.32712,6470.129949
13407.46819,6439.516539
14669.93548,6438.18399
13321.78243,6452.589377
13991.42615,6452.756255
13477.2208,6464.378798
14659.33194,6464.52356
14718.82745,6461.194118
13739.86231,6466.84107
14794.57069,6462.537275
13780.08419,6472.98521
14773.41986,6481.252055
15190.23524,6485.842857
13235.51829,6488.423345
14961.37549,6489.607562
15168.77296,6499.291022
15091.4736,6497.950311
14683.70698,6502.774314
13351.6333,6508.525023
14308.73167,6509.385833
15077.25298,6515.320273
14837.875,6514.995455
14514.85899,6524.10061
13879.29173,6534.817404
14587.34146,6531.636585
15305.89389,6533.186495
14913.92188,6545.166667
14020.14759,6551.061915
14654.54903,6548.564636
15322.85526,6564.917484
15283.79167,6552.981982
14961.39048,6552.116667
14589.8751,6563.173648
15161.98137,6556.251553
14172.95933,6572.196805
14147.45102,6565.859184
14776.83364,6575.429808
15176.10393,6571.501404
15369.00868,6578.795139
14630,6569.5
15075.20853,6589.742045
13334.84629,6587.417467
15398.10791,6595.722122
15017.94638,6595.842105
14692.87051,6602.386017
13302.69764,6606.268763
13889.22574,6600.50211
15425.35135,6603.132678
13651.04206,6605.681308
15476.51695,6637.779143
14404.46676,6619.749646
14860.3864,6629.240464
15190.26563,6631.34233
13786.12911,6632.077954
14411.04847,6640.380102
14341.4797,6636.077491
15350.1541,6640.561139
14098.71488,6640.553719
14331.13443,6642.908197
14445.2782,6646.943191
15310.93609,6648.181391
15102.06491,6649.242982
13783.89452,6663.180907
15531.85652,6663.617626
15403.69205,6661.926049
14686.32598,6666.592522
14713.28255,6662.875346
15087.02906,6677.354318
15311.62747,6692.382418
15614.20067,6701.492863
15120.74882,6690.507109
13515.04564,6699.425428
14415.68735,6696.431981
15340.4747,6705.994098
15512.28875,6702.806794
14397.34396,6713.163591
14724.59362,6712.548749
15393.29581,6716.193157
14100.45624,6723.067404
15661.82603,6732.789726
15454.46497,6736.022583
15617.41578,6734.253414
14606.64905,6744.102395
15537.5251,6739.286611
15308.29339,6744.487603
15714.37517,6747.900534
14581.03774,6746.544025
14698.62594,6751.165414
15749.74517,6769.04282
14048.52168,6754.725434
13989.52947,6757.468459
13638.4439,6759.964783
15547.5247,6764.704429
15619.28901,6761.067843
15774.13436,6759.590308
15799.10696,6788.146061
15375.12288,6777.035964
13454.69539,6781.674225
15665.61136,6793.981808
15129.67943,6790.009992
15033.47988,6798.264901
13970.74194,6791.833548
14539.32388,6803.186178
15698.63482,6798.116773
14120.56991,6806.520937
15829.90587,6812.386608
14950.40958,6827.020093
15505.5313,6829.08402
15864.53423,6828.329797
13788.20645,6828.978226
13528.12655,6834.638544
15894.57039,6849.847442
14102.05442,6846.05991
14686.98125,6841.842826
15125.66894,6851.856492
14237.05185,6844.262963
13826.2175,6849.81531
15716.74286,6861.504762
